Season,Ind.Number,Arb,am_pm,ah,dist,ANFU_code,tadpole_count,date,Ind.number
W,405,A,PM,28.3,NA,F12,NA,21/07/2017,405
W,413,A,PM,22,NA,NA,3,22/07/2017,413
W,414,A,PM,26,NA,NA,NA,22/07/2017,414
W,415,A,PM,25,NA,NA,2,22/07/2017,415
W,416,A,PM,26.5,NA,NA,NA,22/07/2017,416
D,2523,NA,PM,0,NA,NA,NA,26/02/2018,2523
D,2708,A2,PM,0,NA,F13,NA,13/03/2018,2708
D,2710,G2,PM,0,3.5,F14,NA,13/03/2018,2710
D,2711,G2,PM,0,5.1,F15,NA,13/03/2018,2711
D,2712,G2,PM,0,4.2,F16,NA,13/03/2018,2712
D,2713,G2,PM,0,1.1,F17,NA,13/03/2018,2713
D,2714,G2,PM,0,0,F18,NA,13/03/2018,2714
D,2715,G2,PM,0,0.5,F19,NA,13/03/2018,2715
D,2763,G1,PM,0,3.2,F1,NA,19/03/2018,2763
D,2764,G1,PM,0,1.9,F2,NA,19/03/2018,2764
D,2765,G1,PM,0,7.8,F3,NA,19/03/2018,2765
D,2766,G1,PM,0,11,F4,NA,19/03/2018,2766
D,2767,G1,PM,0,3.8,F5,NA,19/03/2018,2767
D,2770,G1,PM,0,9.9,F31,NA,19/03/2018,2770
D,2772,G1,PM,0,6.6,F35,NA,19/03/2018,2772
D,2773,G1,PM,0,4.9,F36,NA,19/03/2018,2773
D,2774,G1,PM,0,6.2,F37,NA,19/03/2018,2774
D,2775,G1,PM,0,4.7,F38,NA,19/03/2018,2775
D,2777,G1,PM,0,0,F39,NA,19/03/2018,2777
D,2778,G1,PM,0,4,F40,NA,19/03/2018,2778
D,2780,G1,PM,0,1.2,F41,NA,19/03/2018,2780
D,2811,G1,PM,0,5.1,F32,NA,20/03/2018,2811
D,2812,G1,PM,0,5,F33,NA,20/03/2018,2812
D,2838,A1,PM,0,5.1,F42,NA,21/03/2018,2838
D,2839,G2,PM,0,4.7,F40,NA,21/03/2018,2839
D,2840,G2,PM,0,5.8,F38,NA,21/03/2018,2840
D,2841,G2,PM,0,9.9,F37,NA,21/03/2018,2841
D,2842,G2,PM,0,5.2,F36,NA,21/03/2018,2842
D,2849,A1,PM,0,6.1,F6,NA,21/03/2018,2849
D,2851,G2,PM,0,1.1,F5,NA,21/03/2018,2851
D,2854,G2,PM,0,2.2,F7,NA,21/03/2018,2854
D,2855,G2,PM,0,1.7,F2,NA,21/03/2018,2855
D,2856,G2,PM,0,5.2,F8,NA,21/03/2018,2856
D,2861,G2,PM,0,5.2,F14,NA,22/03/2018,2861
D,2863,G2,PM,0,1.1,F12,NA,22/03/2018,2863
D,2864,G2,PM,1.2,0,F20,NA,22/03/2018,2864
D,2865,G2,PM,1.3,0,F16,NA,22/03/2018,2865
D,2869,A2,PM,24.5,NA,F21,NA,22/03/2018,2869
D,2870,A2,PM,24.4,NA,F22,NA,22/03/2018,2870
W,3122,A3,PM,27,NA,F17,NA,26/06/2018,3122
W,3123,A3,PM,26.5,NA,F19,NA,26/06/2018,3123
W,3124,A3,PM,26,NA,F23,NA,26/06/2018,3124
W,3125,A3,PM,24,NA,F24,NA,26/06/2018,3125
W,3126,A3,PM,25.5,NA,F20,NA,26/06/2018,3126
W,3127,A3,PM,21,NA,F25,NA,26/06/2018,3127
W,3145,A3,PM,26.5,NA,F38,NA,29/06/2018,3145
W,3146,A3,PM,27,NA,F43,NA,29/06/2018,3146
W,3147,A3,PM,27.5,NA,F44,NA,29/06/2018,3147
W,3156,A3,PM,19.5,NA,F9,NA,29/06/2018,3156
