tree_code,Season,date,start_time,am_pm,survey_types,arboreal_survey_code,ground_survey_code,day_hour
PAT43,W,27/06/2017,21:27:00,PM,A,A,G,1.5130626633274291
PAT44,W,27/06/2017,19:32:00,PM,A,A,G,1.5032254688125615
PAT45,W,28/06/2017,19:42:00,PM,A,A,G,1.621271802990973
PAT46,W,28/06/2017,21:09:00,PM,A,A,G,1.6311089975058406
PAT47,W,29/06/2017,20:08:00,PM,A,A,G,1.7442367344268186
PAT48,W,29/06/2017,22:10:00,PM,A,A,G,1.7540739289416862
PAT49,W,04/07/2017,20:00:00,PM,A,A,G,-1.2069216200334727
PAT50,W,04/07/2017,21:55:00,PM,A,A,G,-1.202003022776039
PAT51,W,05/07/2017,19:53:00,PM,A,A,G,-1.093793883112495
PAT52,W,05/07/2017,21:32:00,PM,A,A,G,-1.0839566885976273
PAT53,W,11/07/2017,21:14:00,PM,A,A,G,-0.3756786835271574
PAT54,W,12/07/2017,19:10:00,PM,A,A,G,-0.2674695438636134
PAT55,W,12/07/2017,21:15:00,PM,A,A,G,-0.25763234934874574
PAT56,W,13/07/2017,19:18:00,PM,A,A,G,-0.14942320968520173
PAT57,W,13/07/2017,21:06:00,PM,A,A,G,-0.13958601517033412
PAT58,W,14/07/2017,19:10:00,PM,A,A,G,-0.03137687550679009
PAT59,W,14/07/2017,20:38:00,PM,A,A,G,-0.026458278249356273
PAT60,W,15/07/2017,19:23:00,PM,A,A,G,0.08666945867162157
PAT61,W,15/07/2017,21:40:00,PM,A,A,G,0.0965066531864892
PAT62,W,17/07/2017,19:24:00,PM,A,A,G,0.32276212702844487
PAT63,W,17/07/2017,21:30:00,PM,A,A,G,0.3325993215433125
PAT64,W,18/07/2017,19:00:00,PM,A,A,G,0.4408084612068565
PAT65,W,18/07/2017,20:48:00,PM,A,A,G,0.44572705846429034
PAT66,W,20/07/2017,19:40:00,PM,A,A,G,0.6769011295636799
PAT67,W,21/07/2017,19:27:00,PM,A,A,G,0.7949474637420915
PAT68,W,21/07/2017,22:22:00,PM,A,A,G,0.8097032555143929
PAT69,W,22/07/2017,19:04:00,PM,A,A,G,0.9129937979205032
PAT70,W,22/07/2017,22:05:00,PM,A,A,G,0.9277495896928046
PAT48,D,07/02/2018,19:35:00,PM,AG,A1,G1,-0.8577012147556716
PAT50,D,07/02/2018,20:30:00,PM,AG,A1,G1,-0.8527826174982378
PAT44,D,08/02/2018,20:40:00,PM,AG,A1,G1,-0.7347362833198262
PAT49,D,08/02/2018,19:20:00,PM,AG,A1,G1,-0.73965488057726
PAT53,D,10/02/2018,19:05:00,PM,AG,A1,G1,-0.5035622122204367
PAT56,D,10/02/2018,21:10:00,PM,AG,A1,G1,-0.4937250177055691
PAT57,D,11/02/2018,19:30:00,PM,AG,A1,G1,-0.38551587804202503
