tree_code,tree_common_name,tree_species,latitude,longitude,dbh,stream_distance,canopy_height,large_vines,epiphytes,moss,mean_ground_cover,density_small_stems,density_big_stems,canopy_size,mean_canopy_cover,root_base,lugovia_epiphytes,dbh_r,ground_cover,canopy_cover,espave
PAT43,Bateo,Carapa guianensis,-79.70466499,9.360293979,-0.8896310190663156,-0.7471142148579977,0.738361215341742,0,1,0,10.16666667,-0.7263105209024846,0.03041150583977709,0.36360752257645285,87.83333333,1,0,0.65,-1.134924333557317,0.2435377065152004,0
PAT44,Sandé,Brosimum utile,-79.70452904,9.360103961,-0.7229225794164106,-0.12976625952699095,0.9214627496922713,1,3,1,18.33333333,1.620427334906737,0.35581461832539185,0.5812474740395143,84.22222222,0,2,0.75,-0.14103619625168226,0.09181746742581735,0
PAT45,Cuero de sapo,Gyranthera sp. 1,-79.70502801,9.360859003,-1.139693678541173,-0.5635783362460767,0.04257538480973122,0,2,1,15.66666667,0.36519545854366503,1.0066208432966217,-0.7476441694173884,87.72222222,0,0,0.5,-0.46557109768262145,0.23886939151154324,0
PAT46,Gasparillo,Unknown sp. 11,-79.70513899,9.361372981,-0.8896310190663156,1.3718909291159982,0.04257538480973122,0,1,0,38.75,1.620427334906737,-0.2949916066458377,0.6577379845637435,85.11111111,1,0,0.65,2.3436841494464167,0.12916398787522412,0
PAT47,Unknown sp. 9,Unknown sp. 9,-79.70505701,9.361583032,-0.6395683595914581,0.7044877341635586,0.17074645885510095,1,3,1,14.16666667,1.1838249431282772,0.681217730811007,-0.5436694746861103,87.16666667,0,0,0.8,-0.648121980193902,0.2155278164932561,0
PAT48,Níspero,Manilkara zapota,-79.70419401,9.359561987,-0.13944304064174298,2.0392941240684377,0.2622972260303656,0,1,0,5.916666667,0.14689426265443492,2.959039518210311,0.4342913904638543,89.72222222,0,0,1.1,-1.6521518343710466,0.3228990624176723,0
PAT49,Canalú,Platypodium elegans,-79.70475803,9.360103039,-1.0563394587162205,0.03708453921111896,-1.5137876571697684,0,1,0,18.91666667,-0.07140693323479472,0.35581461832539185,-0.7424050933540851,89.44444444,0,0,0.55,-0.07004418557484665,0.3112282746984544,0
PAT50,Guayabo de montaña,Terminalia oblonga,-79.70415596,9.360500006,-0.6395683595914581,-0.7471142148579977,-0.17714645641090446,1,3,1,15.5,-0.5080093250132547,1.0066208432966217,1.4548634075953533,89.72222222,3,1,0.8,-0.4858545294784323,0.3228990624176723,0
PAT51,Laurel negro,Cordia megalantha,-79.70602102,9.360524984,-0.8062767992413632,2.8735481177589874,0.5552596809912127,1,1,1,21.5,0.31062015957135775,0.681217730811007,0.3485451788944557,88,1,1,0.7,0.24434900056668996,0.25054017923076055,0
PAT52,Bateo,Carapa guianensis,-79.70578297,9.360323986,-0.8896310190663156,3.540951312711427,-0.17714645641090446,0,2,0,12.66666667,0.5289213554605874,0.35581461832539185,-0.16139155793374016,90,0,0,0.65,-0.8306728627051826,0.3345698501368896,0
PAT53,Corocito,Vantanea depleta,-79.70354198,9.366321992,-0.8062767992413632,3.7078021114495368,-1.2025150487738687,0,2,1,14.25,0.6926472523775097,3.284442630695926,-0.7743197983730415,89.44444444,1,0,0.7,-0.6379802649044994,0.3112282746984544,0
PAT54,Higuerón ,Ficus sp. 1,-79.70166603,9.367906004,-0.6395683595914581,-0.687047927312278,1.9285211886201825,0,3,1,15.83333333,-0.23513283015171732,0.35581461832539185,-0.4549544533475061,89.61111111,1,0,0.8,-0.44528766710381634,0.3182307474140145,0
PAT55,Amarillo,Terminalia amazonia,-79.70152999,9.367943974,-0.9729852388912681,-0.6136335758675097,-0.0855956892356398,0,3,1,37.66666667,-0.7808858198747921,1.3320239557822366,-0.45984425767325593,89.61111111,1,1,0.6,2.21184184581616,0.3182307474140145,0
PAT56,Higuerón ,Ficus sp. 2,-79.70148901,9.368507992,-0.9729852388912681,-0.6503407515898938,-1.2757556625140802,0,2,1,10.33333333,-0.5080093250132547,1.6574270682678516,-0.5421414108343133,86.77777778,0,2,0.6,-1.1146409029785118,0.19918871377038103,0
PAT57,Corocito,Vantanea depleta,-79.70140996,9.368817033,-0.4728599199415531,-0.5936114800189366,1.8369704214449178,1,1,1,18.33333333,-0.23513283015171732,2.308233293239081,0.4479566471956375,89.88888889,1,1,0.9,-0.14103619625168226,0.3299015351332324,0
PAT58,Bateo,Carapa guianensis,-79.70137803,9.369071005,-1.139693678541173,-0.7804843746056196,0.5552596809912127,0,1,0,20.33333333,-0.6717352219301771,0.35581461832539185,-1.359044346004893,90.16666667,1,0,0.5,0.10236498043002516,0.3415723228524497,0
PAT59,Balso,Ochroma pyramidale,-79.70159596,9.369153986,-0.8062767992413632,-0.32998721801272285,-0.17714645641090446,0,2,1,22.75,0.31062015957135775,1.3320239557822366,-0.9978100514401249,90.88888889,0,0,0.7,0.3964747359927571,0.37191637058629695,0
PAT60,Mamecillo,Alseis blackiana,-79.70136696,9.369596969,-0.8062767992413632,-0.4968380167508328,-0.30531753045627547,1,3,1,6.416666667,-0.4534340260409472,1.0066208432966217,-0.6543012975561998,87.83333333,0,1,0.7,-1.5913015402006199,0.2435377065152004,0
PAT61,Corocito,Vantanea depleta,-79.70195797,9.369441988,-0.6395683595914581,1.0381893316397783,0.738361215341742,1,1,1,13.25,0.5834966544328951,0.35581461832539185,0.043456316141422126,85,0,2,0.8,-0.7596808532453532,0.12449567287156693,0
PAT62,Níspero,Manilkara zapota,-79.70201899,9.368881993,-0.8062767992413632,1.2050401303778882,-0.7996916732027037,0,2,0,13.75,0.25604486059904996,1.0066208432966217,0.30881551874773855,88.33333333,0,0,0.7,-0.6988305590749263,0.26454512424173265,0
PAT63,Nísperillo,Pouteria sp. 1,-79.70158003,9.369670982,-0.8062767992413632,0.7044877341635586,0.9214627496922713,1,2,0,14.41666667,-0.5625846239855622,1.982830180753466,-0.631467657713636,88.11111111,0,0,0.7,-0.6176968331086886,0.2552084942344177,0
PAT64,Bateo,Carapa guianensis,-79.70090101,9.370400039,0.19397383865806694,-0.7270921190094244,0.5552596809912127,1,2,1,26.5,0.6926472523775097,-0.6203947191314525,0.9344485186405505,90.33333333,2,2,1.3,0.8528519422709585,0.34857479514786177,0
PAT65,Sandé,Brosimum utile,-79.70057798,9.370419988,-0.4728599199415531,-0.6803738953627536,-0.21376676328101082,1,2,1,6.333333333,-0.18055753117940979,1.0066208432966217,-0.17833123720508773,90.94444444,1,0,0.9,-1.601443255976825,0.3742505278780512,0
PAT66,Níspero,Manilkara zapota,-79.71105703,9.354607025,-0.22279726046669554,-0.12976625952699095,0.738361215341742,0,3,0,27.5,0.20146956162674268,2.959039518210311,0.7221786201423751,86.38888889,0,0,1.05,0.9745525306118122,0.18284961104750655,0
PAT67,Espavé,Anacardium excelsum,-79.70997501,9.352538958,0.8608075972576867,-0.7637992947318086,-0.36024799076143377,1,4,1,14.91666667,-0.6171599229578696,0.03041150583977709,1.4745099428327408,75.72222222,3,3,1.7,-0.5568465389382617,-0.2653086339252312,1
PAT68,Zapote,Couepia sp. 1,-79.71028003,9.352405015,-0.6395683595914581,-0.4968380167508328,0.8116018290819534,0,2,0,16.66666667,-0.18055753117940979,0.35581461832539185,1.1375063750607506,89.5,0,0,0.8,-0.3438705093417675,0.31356243241035736,0
PAT69,Espavé,Anacardium excelsum,-79.710125970000007,9.352499982,1.027516036907592,-0.7270921190094244,1.3792165855685945,1,5,1,23.75,-0.2897081291240248,0.03041150583977709,2.5263417804752826,73.66666667,4,4,1.8,0.5181753243336108,-0.3516724621231151,1
PAT70,Sandé,Brosimum utile,-79.71022798,9.352120031,-0.9729852388912681,-0.6636888154889427,-0.36024799076143377,0,2,1,11.5,-0.016831634262487436,0.03041150583977709,-0.16903187719272425,87.55555556,0,1,0.6,-0.9726568828418471,0.2318669192161312,0
